token_address,from_address,to_address,value,transaction_hash,log_index,block_timestamp,block_number,block_hash,
0xc86d80c114957b4cf82e8ce87e3f55217688c56d,0xc86d80c114957b4cf82e8ce87e3f55217688c56d,0x3310ece233b86ea762776dc4aba61f9b9706fc7b,1,0xe26127acef9c7763aceb56102d4dcf2d18182506b4023009cae0900ccfcf40d2,12,2016-02-08 16:20:21 UTC,973485,0x440ccc5613b6a4776bfd8b73668a792696038fc0fdf5496a81599f4597df2c79,
0xc86d80c114957b4cf82e8ce87e3f55217688c56d,0xc86d80c114957b4cf82e8ce87e3f55217688c56d,0xcd7642260fb84ce6d28730f6579d4f6ab26c8369,5,0x481e902a9e8486c6d34e1e1fac8df145a871728cb752119b717f79e00cf6f59d,0,2016-02-08 16:26:57 UTC,973509,0xd835565f97124505b440d8cd9e4a4be751b11b723a9687e5c6a45a0ccadfce86,
0xc86d80c114957b4cf82e8ce87e3f55217688c56d,0xc86d80c114957b4cf82e8ce87e3f55217688c56d,0xcd7642260fb84ce6d28730f6579d4f6ab26c8369,2,0x2eb768cd48c064ab9e3adee3f7e6b6a2d919f0cb3ad684adc7cc53ded3907eb2,0,2016-02-08 16:22:53 UTC,973493,0x5c2d23262a377b6670d9c13a4495ba801fb08183301aac70eb11d1229d9e15e6,
0xc86d80c114957b4cf82e8ce87e3f55217688c56d,0xc86d80c114957b4cf82e8ce87e3f55217688c56d,0x3310ece233b86ea762776dc4aba61f9b9706fc7b,6,0x0c4b71bd2d111d2da958114f415a10d85d5f36e6f8f96de3ffa86f53d04ba22d,0,2016-02-08 16:27:55 UTC,973515,0xf2167f5860f909c959f0c5cf8f80bab4f1039919fd10c0b64c0fdbc7820fefb4,
0xc86d80c114957b4cf82e8ce87e3f55217688c56d,0xcd7642260fb84ce6d28730f6579d4f6ab26c8369,0x3310ece233b86ea762776dc4aba61f9b9706fc7b,100,0x7e9476d63d506d947aa412f029a08a1b2b25ff542d191314956d63137be83a55,4,2016-02-08 16:25:49 UTC,973506,0x14860e563198d2b335ba895a1fd1fe45c7e439f8f5d2acb1519a2da50b527860,
0xc86d80c114957b4cf82e8ce87e3f55217688c56d,0xcd7642260fb84ce6d28730f6579d4f6ab26c8369,0xc86d80c114957b4cf82e8ce87e3f55217688c56d,1000,0xa9fb18f2e3dd7d28bedf786f8dd03ea42dd6100a42acd05651e0abb2e88567f7,0,2016-02-08 16:31:30 UTC,973526,0xa469ef6db8f7dd99e8cdeef6fbb6e0792025348aeca5c0ad639af19d7409ee4d,
0xe6fe45f04b964a1b63236231ac1e2ea718233236,0xcd7642260fb84ce6d28730f6579d4f6ab26c8369,0xe6fe45f04b964a1b63236231ac1e2ea718233236,1000000,0x2c5481c4c7ab1850234e1c28fb010070c9494b542b708307168322ce9af8ecd5,0,2016-02-08 09:24:15 UTC,971987,0xe36362e662c3e2bd32052d5a93086025e4a090f591b5f782798ed552018820f9,
0xee6760ea173d858cd0434b9d5bbd5e9443311e78,0x3310ece233b86ea762776dc4aba61f9b9706fc7b,0xee6760ea173d858cd0434b9d5bbd5e9443311e78,82,0xef5bc0ae5f53900a704df0d679ea9258e9c1ea62dab8b4cdfc39c0844601ffba,0,2016-02-08 15:52:01 UTC,973374,0x888d2b8846b97a0585c4847f460ddf6e457852aea486d720769d46ec29cc3907,
0xee6760ea173d858cd0434b9d5bbd5e9443311e78,0x3310ece233b86ea762776dc4aba61f9b9706fc7b,0xcd7642260fb84ce6d28730f6579d4f6ab26c8369,40,0x7604daab571e6b7eb01b1b0d510bf1d43a5b5e3dae72f1ff419784ba1e6ad776,4,2016-02-08 15:57:33 UTC,973391,0x0d31adebb45ec2af4456d8d5135aa8d0d4f50ded78a692647441930aa2e48fa6,
0xee6760ea173d858cd0434b9d5bbd5e9443311e78,0xcd7642260fb84ce6d28730f6579d4f6ab26c8369,0x3310ece233b86ea762776dc4aba61f9b9706fc7b,82,0x6d735931fbe0a8eb6bf4d63f18d28a788c507538ccc5d34abe7e73569ffd3ba8,0,2016-02-08 15:50:46 UTC,973369,0xe974b864c764d288be1850a65fd45bb302f61277c2db513a323d8a699e159915,
