address,symbol,name,decimals,total_supply,
0x08c3b0b55908ee37253ffcfd55bb957aa870bcfd,ISM,Istrium,6,20000000000000,
0x08ddff9dfa7e00331602930148405b5ab7012872,CBT,CBTtoken,18,200000000000000000000000000,
0x08e47db4c9d2dd418057225ea39fd19a1eb77a01,MANU,ManuCoin,0,24,
0x08eb304123779295d9282bb759b675478f56b820,CHT(Chemtax),Chemtax Token,18,10000000000000000000000000000,
0x0910298ebfd2d9b7560af6ceafcd8dd397a7d462,XEC,XEC,8,50000000000000000,
0x092b3ff2b75104f6f583b27f966e10ccf8c2c685,CAT,Madcats,2,0,
0x093e46107fe04d22f84552cf224e9c42ba6fb6a5,null,null,0,100000000,
0x094614f22c71c830ffd1be8ac1fb62381dbebcab,CJT,cryptojoy token,18,10000000000000000000000000000,
0x094bf5e3669513ea3ac5c61eb8062d4de8d5b2f0,LSCUK,LSC(UK),8,100000000000000000,
0x0961ab89e7a6e557c30f30368480b55bc8fa41f1,ONLY1,The one and only,0,20000000,
0x096349c8c0c9e0dabf30ca256e860599ac5ee482,CB.cx,Chubb,8,3533500000000,
